confidence,hypo_step,max_arm_length,nThreads,exec_time_ms
64,3,2,1,21416.0
54,1,4,4,17866.0
14,1,4,7,15659.0
14,2,14,6,11788.0
54,1,1,6,13152.0
34,2,7,5,9486.0
54,1,4,4,17166.0
34,2,8,6,7113.0
34,2,7,5,10966.0
64,2,16,6,13384.0
34,3,16,8,9186.0
54,3,7,8,7013.0
54,3,5,1,23757.0
34,3,4,6,5136.0
64,2,15,4,12899.0
44,1,5,7,10220.0
34,1,7,8,10034.0
44,1,5,2,31242.0
64,1,10,1,63879.0
64,2,5,2,17292.0
34,2,12,7,7706.0
34,3,7,3,10371.0
54,1,11,3,23557.0
24,2,3,5,10531.0
44,3,3,8,6006.0
34,2,12,7,9683.0
24,2,10,7,9851.0
44,3,3,3,8967.0
64,2,7,7,10429.0
24,1,16,6,18354.0
24,2,13,2,22033.0
14,2,7,7,6705.0
14,1,3,4,16542.0
64,3,13,1,34467.0
34,3,9,7,5569.0
54,1,5,4,16266.0
64,1,8,2,31927.0
44,3,1,2,10715.0
44,3,9,6,5974.0
44,1,10,3,23389.0
64,2,14,2,22550.0
54,3,5,2,12953.0
14,2,2,6,6597.0
14,2,3,7,6001.0
24,3,2,4,6374.0
34,3,6,3,9730.0
34,1,2,2,29393.0
44,2,11,1,39749.0
24,1,3,4,16580.0
14,2,11,5,11427.0
24,3,1,2,10706.0
64,1,4,4,16011.0
34,3,12,8,8360.0
54,2,12,7,9167.0
64,3,4,3,9005.0
64,3,11,3,11199.0
44,2,2,4,8712.0
14,2,9,4,13538.0
14,1,4,6,13202.0
14,3,6,2,13827.0
14,1,9,6,13010.0
44,2,16,2,25554.0
24,2,15,8,9420.0
14,1,3,3,22793.0
14,2,4,4,9521.0
64,2,13,5,10272.0
34,3,6,2,13932.0
34,3,13,5,8024.0
64,2,8,2,18811.0
64,2,6,2,17208.0
34,1,7,2,31646.0
24,2,14,1,42395.0
44,1,5,6,12937.0
44,3,11,8,8243.0
24,2,12,2,21033.0
14,3,4,5,6885.0
54,1,1,4,15495.0
44,2,13,4,11890.0
24,3,14,6,7046.0
34,1,10,2,34666.0
24,3,11,2,16408.0
44,3,6,4,7672.0
54,2,16,5,12261.0
54,1,8,6,14165.0
24,3,11,3,11949.0
14,1,13,2,34315.0
44,1,4,6,11350.0
24,3,11,3,11745.0
54,2,10,4,11220.0
54,2,10,3,14129.0
34,3,9,1,31152.0
54,3,12,4,9396.0
34,3,6,4,7813.0
24,2,5,3,11974.0
34,2,14,6,11369.0
34,1,1,8,13403.0
14,1,14,6,21433.0
54,2,13,2,20904.0
54,2,6,4,10125.0
44,3,14,3,13312.0
54,1,2,7,9780.0
34,1,9,4,17107.0
34,2,12,5,9626.0
14,1,3,1,57838.0
54,2,10,8,6313.0
54,3,7,5,6872.0
34,3,14,1,33142.0
64,2,15,1,44795.0
14,2,9,5,9659.0
64,3,12,7,5976.0
64,1,9,3,22926.0
24,2,9,1,38136.0
54,1,3,5,13972.0
64,3,6,1,27317.0
24,1,4,7,17043.0
54,1,12,8,17311.0
54,1,12,8,10547.0
54,1,7,4,18104.0
44,3,7,3,10889.0
54,3,9,7,6019.0
44,1,15,7,13305.0
34,2,2,5,10775.0
34,2,14,8,10986.0
24,1,9,6,13172.0
34,3,6,6,8997.0
44,1,6,8,14015.0
14,3,12,7,5950.0
34,3,10,3,12903.0
54,1,4,1,58916.0
14,3,12,7,7863.0
14,3,3,3,8379.0
54,1,5,2,30831.0
34,1,4,5,16755.0
24,2,1,6,5597.0
24,2,16,5,11862.0
14,2,8,5,8968.0
34,2,15,7,11919.0
34,1,1,4,15572.0
64,1,12,6,12218.0
14,2,13,4,13632.0
44,1,4,7,12757.0
64,1,12,6,12265.0
54,2,15,7,12242.0
44,1,6,4,18743.0
64,2,5,8,8478.0
44,1,2,1,54724.0
64,2,5,8,7836.0
24,1,15,2,34701.0
14,1,10,3,26013.0
44,2,8,8,6598.0
34,1,2,6,10768.0
64,1,6,2,32185.0
44,2,8,8,6295.0
64,3,16,7,6803.0
54,1,14,2,37145.0
34,3,4,2,12841.0
14,3,14,5,8277.0
64,2,7,2,19211.0
64,2,6,8,9188.0
24,2,10,5,14288.0
54,2,16,6,13385.0
14,1,8,7,16321.0
64,2,6,8,6831.0
64,3,7,8,4415.0
44,1,1,8,8108.0
54,2,10,2,21917.0
34,3,7,4,7557.0
34,3,12,4,8674.0
44,1,14,2,35292.0
64,3,5,6,4843.0
44,2,7,3,12461.0
34,2,3,1,31151.0
54,1,5,3,20843.0
64,3,5,4,8089.0
64,2,10,8,9090.0
54,2,14,7,7756.0
54,1,14,1,70015.0
34,3,1,3,7530.0
14,2,11,2,21318.0
14,2,10,2,20342.0
44,3,13,6,8766.0
54,3,5,8,6587.0
34,2,12,2,21585.0
34,2,10,4,11143.0
44,3,2,2,11295.0
14,3,4,7,4634.0
34,2,16,2,22890.0
64,2,15,2,23744.0
24,3,9,2,14831.0
34,2,1,5,7479.0
34,2,16,2,22613.0
24,3,9,3,11126.0
34,1,4,6,13699.0
34,2,10,8,10132.0
64,3,8,2,14623.0
14,3,13,6,10006.0
24,1,14,7,18112.0
24,3,2,6,4550.0
34,1,5,1,59501.0
64,2,16,5,11050.0
24,3,8,1,28117.0
14,3,8,8,4849.0
34,2,3,3,11593.0
34,2,5,6,6883.0
34,1,5,8,13843.0
24,2,9,5,14103.0
24,2,8,1,37569.0
34,2,11,4,11700.0
54,2,8,8,6136.0
14,1,9,4,18740.0
24,2,9,2,20550.0
14,3,8,5,7158.0
54,3,14,4,9675.0
34,3,12,1,32170.0
14,2,1,6,5739.0
64,1,3,4,14999.0
34,2,15,2,22938.0
64,1,15,7,11941.0
14,2,12,1,41355.0
24,2,16,2,22252.0
24,3,10,6,9630.0
24,2,4,8,7842.0
14,1,7,5,18466.0
24,2,4,8,7744.0
14,1,7,3,25197.0
44,1,8,6,16371.0
64,3,14,7,10048.0
64,1,4,5,17338.0
44,1,8,5,18417.0
24,2,11,4,12274.0
34,3,10,6,9499.0
44,1,13,7,14911.0
24,2,8,8,7923.0
14,2,5,6,7423.0
14,2,13,7,7379.0
24,1,10,3,24018.0
44,3,14,2,18649.0
24,3,6,2,14604.0
54,2,6,5,9212.0
54,1,3,7,11253.0
24,1,3,3,21274.0
24,1,13,2,36557.0
34,2,13,2,21584.0
44,2,1,5,7461.0
44,3,11,1,31125.0
34,2,16,3,16589.0
54,2,6,3,12761.0
64,3,3,5,6114.0
14,1,11,4,18914.0
44,2,3,2,15519.0
44,3,12,4,9196.0
64,2,11,3,13966.0
34,3,10,5,7357.0
14,1,5,4,16705.0
64,2,9,7,6743.0
14,3,16,5,8468.0
24,2,1,8,4759.0
34,2,15,1,44693.0
34,1,13,5,16028.0
14,2,3,6,6593.0
44,2,3,6,6245.0
44,2,9,7,6730.0
24,1,14,1,68874.0
24,3,10,2,15588.0
54,2,3,1,31653.0
24,2,6,7,6755.0
44,2,16,3,16727.0
44,1,16,3,27085.0
44,2,1,7,5500.0
44,2,5,6,8601.0
54,2,10,6,7499.0
44,1,10,7,12595.0
24,2,2,7,5478.0
44,2,15,3,16812.0
24,1,14,1,67688.0
44,2,15,3,16111.0
34,1,14,3,25124.0
64,3,2,2,11227.0
54,2,5,1,31818.0
34,2,16,6,9386.0
24,1,6,4,18131.0
64,3,10,8,7981.0
14,3,15,7,7976.0
54,2,13,4,12802.0
44,2,7,4,10056.0
44,3,1,1,20284.0
14,2,11,6,8139.0
64,3,4,1,22951.0
44,1,11,2,32833.0
54,2,16,2,24312.0
14,1,14,5,17252.0
44,1,13,4,18997.0
34,2,2,3,11726.0
44,3,15,4,10601.0
14,1,14,5,17550.0
14,2,4,1,33016.0
24,3,12,2,16604.0
64,1,9,2,33879.0
64,3,6,4,7843.0
24,3,9,4,8201.0
14,2,15,5,11346.0
64,1,11,5,17247.0
44,3,14,1,34998.0
24,2,3,3,11642.0
64,1,5,8,14101.0
64,2,8,3,14424.0
64,2,7,3,13717.0
24,1,10,7,13990.0
14,3,12,6,9884.0
54,3,12,8,8469.0
34,1,10,3,23928.0
64,1,4,8,13840.0
24,3,4,1,24041.0
14,3,3,7,4584.0
44,3,7,4,7919.0
44,3,10,2,16639.0
44,3,7,4,7823.0
44,1,9,4,18496.0
24,1,2,4,15746.0
64,3,5,8,6738.0
54,2,2,8,7796.0
34,1,6,4,17455.0
34,2,15,8,11281.0
24,1,2,3,20328.0
24,1,11,8,16628.0
34,3,15,8,5707.0
34,3,15,5,9324.0
