GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
1195,445,1,4,1020,4,4717.24171972275
1195,445,1,4,1020,4,4749.84724283218
1195,445,1,4,1020,4,4870.94221711159
1195,445,1,4,1020,4,5046.79136586189
1195,445,1,8,512,4,4625.30253481865
1195,445,1,8,512,4,4623.93403935432
1195,445,1,8,512,4,4674.46370816231
1195,445,1,8,512,4,4789.0959584713
1195,445,1,16,256,4,4519.37767219544
1195,445,1,16,256,4,4525.28149962425
1195,445,1,16,256,4,4503.25993943214
1195,445,1,16,256,4,4606.90076208115
1195,445,1,32,128,4,4428.68162441254
1195,445,1,32,128,4,4446.91105556488
1195,445,1,4,2040,4,9568.38677120209
1195,445,1,4,2040,4,9477.00664067268
1195,445,1,4,2040,4,9904.58688855171
1195,445,1,8,1024,4,9529.25635027886
1195,445,1,8,1024,4,9674.0337023735
1195,445,1,16,512,4,9062.53517341614
1195,445,1,16,512,4,9133.13095450401
1195,445,1,16,512,4,9101.40840816498
1195,445,1,16,512,4,9232.60193991661
1195,445,1,32,256,4,8956.83830428123
1195,445,1,32,256,4,8984.71820473671
5591,431,1,2,128,4,295.709367275238
5591,431,1,2,128,4,284.729215145111
5591,431,1,4,64,4,266.089838027954
5591,431,1,4,64,4,265.60644865036
5591,431,1,8,32,4,256.033462047577
5591,431,1,8,32,4,263.134799718857
5591,431,1,16,16,4,272.666913509369
5591,431,1,16,16,4,268.679664134979
5591,431,1,32,8,4,264.868385314941
5591,431,1,32,8,4,263.907146453857
5591,431,1,64,4,4,260.30127120018
5591,431,1,64,4,4,258.309434175491
5591,431,1,2,256,4,578.700079202652
5591,431,1,2,256,4,578.675316572189
5591,431,1,4,128,4,544.919731855393
5591,431,1,4,128,4,546.500641584396
5591,431,1,8,64,4,499.675441980362
5591,431,1,8,64,4,509.448203086853
5591,431,1,16,32,4,507.00040602684
5591,431,1,16,32,4,518.489587306976
5591,431,1,32,16,4,504.907190322876
5591,431,1,32,16,4,502.035592079163
5591,431,1,64,8,4,498.025402545929
5591,431,1,64,8,4,518.509129047394
5591,431,1,2,128,4,537.118480920792
5591,431,1,2,128,4,537.141956806183
5591,431,1,4,64,4,320.373059034348
5591,431,1,4,64,4,317.877009868622
5591,431,1,8,32,4,290.97887969017
5591,431,1,8,32,4,291.546857595444
5591,431,1,16,16,4,309.886192083359
5591,431,1,16,16,4,314.589242458343
5591,431,1,32,8,4,304.941668748856
5591,431,1,32,8,4,309.439025878906
5591,431,1,2,256,4,1056.7014966011
5591,431,1,2,256,4,1060.22622823715
5591,431,1,4,128,4,638.776364088059
5591,431,1,4,128,4,616.64737701416
5591,431,1,8,64,4,587.819266319275
5591,431,1,8,64,4,566.32145190239
5591,431,1,16,32,4,603.341258764267
5591,431,1,16,32,4,622.855024337769
5591,431,1,32,16,4,578.257297039032
5591,431,1,32,16,4,589.899410009384
5591,431,1,2,128,4,535.866296768188
5591,431,1,2,128,4,536.699763536453
5591,431,1,4,64,4,317.500201940536
5591,431,1,4,64,4,317.428084373474
5591,431,1,8,32,4,295.998600482941
5591,431,1,8,32,4,293.940708398819
5591,431,1,16,16,4,310.574814319611
5591,431,1,16,16,4,304.506388664246
5591,431,1,32,8,4,317.512195587158
5591,431,1,32,8,4,316.481189012527
5591,431,1,2,256,4,1056.18923068047
5591,431,1,2,256,4,1057.42065501213
5591,431,1,4,128,4,633.727051496506
5591,431,1,4,128,4,643.271106243133
5591,431,1,8,64,4,558.774825572968
5591,431,1,8,64,4,562.299696207047
5591,431,1,16,32,4,591.891891002655
5591,431,1,16,32,4,602.689419746399
5591,431,1,32,16,4,613.831231117249
5591,431,1,32,16,4,584.246671676636
5591,431,2,2,128,4,188.814610481262
5591,431,2,2,128,4,187.820122718811
5591,431,2,4,64,4,170.666156768799
5591,431,2,4,64,4,178.212662220001
5591,431,2,8,32,4,159.095155239105
5591,431,2,8,32,4,164.134955406189
5591,431,2,16,16,4,159.808699369431
5591,431,2,16,16,4,157.564848661423
5591,431,2,32,8,4,164.093732118607
5591,431,2,32,8,4,163.903259038925
5591,431,2,64,4,4,160.603782653809
5591,431,2,64,4,4,164.788105010986
5591,431,2,128,4,4,280.324315786362
5591,431,2,128,4,4,286.773101091385
5591,431,2,2,256,4,367.566860437393
5591,431,2,2,256,4,362.514872074127
5591,431,2,4,128,4,317.900043010712
5591,431,2,4,128,4,333.423915147781
5591,431,2,8,64,4,294.960963010788
5591,431,2,8,64,4,293.512141227722
5591,431,2,16,32,4,295.595920562744
5591,431,2,16,32,4,287.990772008896
5591,431,2,32,16,4,302.840654373169
5591,431,2,32,16,4,298.681166172028
5591,431,2,64,8,4,298.688720226288
5591,384,3,2,84,4,154.139640331268
5591,384,3,2,84,4,153.293446302414
5591,431,2,64,8,4,287.620144844055
5591,384,3,4,84,4,154.287665843964
5591,384,3,4,84,4,151.817747116089
5591,384,3,8,28,4,137.030118942261
5591,384,3,8,28,4,138.636781215668
5591,431,2,128,8,4,547.339837551117
5591,384,3,16,16,4,127.284118175507
5591,384,3,16,16,4,126.776878118515
5591,431,2,128,8,4,578.41474199295
5591,384,3,32,8,4,142.62579536438
5591,384,3,32,8,4,144.835500001907
5591,384,3,64,4,4,140.128702640533
5591,384,3,64,4,4,138.193005084991
5591,384,3,128,4,4,229.555433750153
