GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,216,4,16,8089,24,1435.80915021896
7365,216,4,8,16176,32,2332.19904589653
7365,216,4,8,16176,32,2335.54839301109
7365,216,4,8,16176,2,2383.2396261692
7365,216,4,8,16176,2,2327.87971305847
7365,216,4,8,16176,4,2316.6096432209
7365,216,4,8,16176,4,2325.28523993492
7365,216,4,8,16176,8,2375.46568369865
7365,216,4,8,16176,8,2387.61070156097
7365,216,4,8,16176,16,2357.26103925705
7365,216,4,8,16176,16,2322.92816329002
7365,216,4,8,16176,24,2327.30613994598
7365,216,4,8,16176,24,2351.84381794929
7365,216,4,8,16176,32,2387.2692656517
7365,216,4,8,16176,32,2377.89164280891
1195,445,2,16,16177,2,7103.73713517189
1195,445,2,16,16177,8,7098.31279158592
1195,445,2,16,16177,12,7110.54121947288
1195,445,2,16,16177,12,7102.64416766167
1195,445,2,8,32351,2,8673.88688969612
1195,445,2,8,32351,2,8697.78767085075
1195,445,2,8,32351,2,8705.36854100227
1195,445,2,8,32351,4,8697.47669005394
1195,445,2,8,32351,4,8653.01000070572
1195,445,2,8,32351,4,8707.16054844856
1195,445,2,8,32351,8,8688.9327981472
1195,445,2,8,32351,8,8702.02077651024
1195,445,2,8,32351,8,8706.40214014053
1195,445,2,8,32351,12,8687.10668730736
1195,445,2,8,32351,12,8659.83419108391
1195,445,2,8,32351,12,8674.47951483726
1195,445,2,8,32351,16,8719.87277626991
1195,445,2,8,32351,16,8715.82787704468
1195,445,2,8,32351,16,8707.04280090332
7365,384,4,64,6067,2,2898.48320245743
7365,384,4,64,6067,2,3668.85680055618
7365,384,4,64,6067,4,2216.43909907341
7365,384,4,64,6067,4,2247.84516859055
7365,384,4,64,6067,8,2221.72882556915
7365,384,4,64,6067,8,2312.95074129105
7365,384,4,32,12133,2,2818.73196315765
7365,384,4,32,12133,2,2830.14103126526
7365,384,4,32,12133,4,2809.42839622498
7365,384,4,32,12133,4,2738.18067502975
7365,384,4,32,12133,8,2831.77264642715
7365,384,4,32,12133,8,2705.86946034431
7365,384,4,16,24265,2,4175.45502662659
7365,384,4,16,24265,2,4079.08942508698
7365,384,4,16,24265,4,4107.49504566193
7365,384,4,16,24265,4,4078.36768078804
7365,384,4,16,24265,8,4059.52774906159
7365,384,4,16,24265,8,4078.02463269234
7365,384,4,8,48526,2,6868.8349070549
1195,445,2,16,8089,2,3538.1935904026
7365,384,4,8,48526,2,6971.99560570717
1195,445,2,16,8089,2,3549.01014733315
1195,445,2,16,8089,4,3539.34321379662
1195,445,2,16,8089,4,3539.06478381157
7365,384,4,8,48526,4,6860.98771381378
7365,384,4,8,48526,4,7049.81967449188
1195,445,2,16,8089,8,3539.4286839962
1195,445,2,8,16176,2,4335.47482085228
1195,445,2,8,16176,2,4343.43322443962
7365,384,4,8,48526,8,6867.22691226006
1195,445,2,8,16176,2,4344.15957856178
7365,384,4,8,48526,8,6980.74727058411
1195,445,2,8,16176,4,4330.08655881882
1195,445,2,8,16176,4,4322.40190696716
1195,445,2,8,16176,4,4342.43262457848
1195,445,2,8,16176,8,4335.64757752419
1195,445,2,8,16176,8,4317.36420822144
1195,445,2,8,16176,8,4363.60698437691
1195,445,1,8,32351,2,13000.1291406155
1195,445,1,8,32351,2,13057.3865356445
1195,445,1,8,32351,2,13002.6119058132
1195,445,1,8,32351,4,13008.0030055046
1195,445,1,8,32351,4,13031.8636960983
1195,445,1,8,32351,4,13000.3826377392
1195,445,1,8,32351,8,13043.2247998714
1195,445,1,8,32351,8,12998.9567790031
1195,445,1,8,32351,8,13055.5389101505
1195,445,1,8,32351,12,13033.5414366722
1195,445,1,8,32351,12,13009.0544271469
1195,445,1,8,32351,12,13060.8535437584
1195,445,1,8,32351,16,13064.0417268276
1195,445,1,8,32351,16,13047.3441040516
1195,445,1,8,32351,16,13033.2720737457
1195,445,1,8,16176,2,6537.44517397881
1195,445,1,8,16176,4,6465.62936902046
1195,445,1,8,16176,4,6461.29344081879
1195,445,1,8,16176,8,6475.7171125412
1195,445,1,8,16176,8,6479.85333633423
1195,445,1,8,16176,8,6489.79881978035
1195,445,1,8,16176,12,6473.88772130012
7365,216,3,64,6067,2,2704.3175034523
7365,216,3,64,6067,2,2689.73954963684
7365,216,3,64,6067,4,2667.19239258766
7365,216,3,64,6067,4,2623.04233217239
7365,216,3,64,6067,8,2670.56823015213
7365,216,3,64,6067,8,2651.70316052437
7365,216,3,32,12133,2,3017.31805586815
7365,216,3,32,12133,2,3018.7053797245
7365,216,3,32,12133,4,2995.58587360382
7365,216,3,32,12133,4,2983.782143116
7365,216,3,32,12133,8,2985.21224808693
7365,216,3,32,12133,8,2986.85280704498
7365,216,3,16,24265,2,4481.64885187149
7365,216,3,16,24265,2,4423.11851453781
7365,216,3,16,24265,4,4398.93359875679
7365,216,3,16,24265,4,4430.07676005364
7365,216,3,16,24265,8,4354.49254179001
7365,216,3,16,24265,8,4388.96896505356
7365,216,3,8,48526,2,6784.25260996819
7365,216,3,8,48526,2,6694.69257187843
7365,216,3,8,48526,4,6712.12877678871
7365,216,3,8,48526,4,6730.79775953293
7365,216,3,8,48526,8,6744.31914997101
7365,216,3,8,48526,8,6743.13242793083
7365,216,3,64,2023,2,958.375258922577
7365,216,3,64,2023,2,954.497382879257
7365,216,3,64,2023,4,939.089376449585
1195,445,1,8,16176,2,6477.42145180702
7365,216,3,64,2023,4,961.058304071426
7365,216,3,64,2023,8,956.444973230362
7365,216,3,64,2023,8,939.352655410767
7365,216,3,32,4045,2,1072.30945873261
7365,216,3,32,4045,2,1071.0900144577
1195,445,1,8,16176,2,6467.85841774941
7365,216,3,32,4045,4,1066.06672430038
7365,216,3,32,4045,4,1070.98659229279
7365,216,3,32,4045,8,1075.84046292305
7365,216,3,32,4045,8,1072.51640439033
1195,445,1,8,16176,2,6464.29540467262
7365,216,3,16,8089,2,1522.20675778389
7365,216,3,16,8089,2,1524.26348257065
1195,445,1,8,16176,4,6472.36901879311
7365,216,3,16,8089,4,1503.38707375526
7365,216,3,16,8089,4,1510.75848674774
7365,216,3,16,8089,8,1499.32075357437
7365,216,3,16,8089,8,1501.09316277504
1195,445,1,8,16176,4,6478.40639066696
