GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,384,1,8,48505,2,29004.1927466392
7365,384,4,128,12112,2,17406.2901005745
7365,384,2,32,24243,2,20144.5269935131
7365,384,1,8,48505,2,29155.6031270027
7365,384,4,128,12112,2,17238.4355559349
7365,384,2,32,24243,2,20121.4586527348
7365,384,4,128,12112,4,17156.0160119534
7365,384,2,32,24243,4,20195.9283695221
7365,384,4,128,12112,4,16895.0356833935
7365,384,1,8,48505,4,29211.8250799179
7365,384,2,32,24243,4,20222.7533607483
7365,384,4,128,12112,6,17029.4031360149
7365,384,1,8,48505,4,29211.5445177555
7365,384,4,128,12112,6,17426.3656811714
7365,384,2,32,24243,6,20307.0376067162
7365,384,2,32,24243,6,20279.9914016724
7365,384,4,128,12112,8,16999.3077521324
7365,384,1,8,48505,6,29807.4818572998
7365,384,4,128,12112,8,17137.6651313305
7365,384,2,32,24243,8,20333.9996886253
7365,384,1,8,48505,6,29603.0118176937
7365,384,2,32,24243,8,20300.9710831642
7365,384,4,64,24243,2,22562.7211401462
7365,384,4,64,24243,2,22429.8794057369
7365,384,1,8,48505,8,29598.6230852604
7365,384,2,16,48505,2,30140.1784584522
7365,384,4,64,24243,4,22610.1838331222
7365,384,1,8,48505,8,29764.6067943573
7365,384,2,16,48505,2,29835.3068223
7365,384,4,64,24243,4,22801.5080006123
7365,384,2,16,48505,4,29720.7514550686
7365,384,4,64,24243,6,22677.0450246334
7365,384,4,64,24243,6,22633.0415258408
7365,384,2,16,48505,4,30395.2882184982
5591,384,2,128,2003,2,5801.65671944618
7365,384,4,64,24243,8,22584.5363781452
5591,384,2,128,2003,2,5807.29398941994
5591,384,2,128,2003,4,5806.16492033005
7365,384,2,16,48505,6,29956.4809453487
7365,384,4,64,24243,8,22653.8788249493
5591,384,2,128,2003,4,5816.61441588402
5591,384,2,128,2003,6,5825.6966753006
5591,384,2,128,2003,6,5780.35550236702
7365,384,2,16,48505,6,30128.0187597275
5591,384,2,128,2003,8,5800.27347707748
5591,384,2,128,2003,8,5814.14795064926
5591,384,2,64,4025,2,6673.00427484512
