disk speed(8),Network depth(11),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
384,3,256,291,2,434.242877483368
384,4,256,311,2,435.500815629959
384,4,256,291,2,435.500815629959
384,4,256,311,2,435.755214929581
384,4,256,291,2,435.755214929581
384,4,256,311,2,435.655819177628
384,4,256,291,2,435.655819177628
384,5,256,311,2,435.760946035385
384,5,256,291,2,435.760946035385
384,5,256,311,2,436.204010009766
384,5,256,291,2,436.204010009766
384,5,256,311,2,437.391254663467
384,5,256,291,2,437.391254663467
384,6,256,311,2,437.727716207504
384,6,256,291,2,437.727716207504
384,6,256,311,2,438.301959037781
384,6,256,291,2,438.301959037781
384,6,256,311,2,436.603272676468
384,6,256,291,2,436.603272676468
384,7,256,311,2,438.261565923691
384,7,256,291,2,438.261565923691
384,7,256,311,2,437.31155371666
384,7,256,291,2,437.31155371666
384,7,256,311,2,436.643805980682
384,7,256,291,2,436.643805980682
384,8,256,311,2,439.332524776459
384,8,256,291,2,439.332524776459
384,8,256,311,2,438.151244878769
384,8,256,291,2,438.151244878769
384,8,256,311,2,438.422083616257
384,8,256,291,2,438.422083616257
384,9,256,311,2,438.370920419693
384,9,256,291,2,438.370920419693
384,9,256,311,2,438.277407407761
384,9,256,291,2,438.277407407761
384,9,256,311,2,437.963053941727
384,9,256,291,2,437.963053941727
384,10,256,311,2,442.653652429581
384,10,256,291,2,442.653652429581
384,10,256,311,2,442.263383150101
384,10,256,291,2,442.263383150101
384,10,256,311,2,439.279208183289
384,10,256,291,2,439.279208183289
384,1,128,611,2,419.920967817307
384,1,128,591,2,419.920967817307
384,1,128,611,2,419.562289714813
384,1,128,591,2,419.562289714813
384,1,128,611,2,419.665085792542
384,1,128,591,2,419.665085792542
384,2,128,611,2,421.465060472488
384,2,128,591,2,421.465060472488
384,2,128,611,2,420.159646749497
384,2,128,591,2,420.159646749497
384,2,128,611,2,421.561775922775
384,2,128,591,2,421.561775922775
384,3,128,611,2,421.554439067841
384,3,128,591,2,421.554439067841
384,3,128,611,2,419.69345998764
384,3,128,591,2,419.69345998764
384,3,128,611,2,421.216368436813
384,3,128,591,2,421.216368436813
384,4,128,611,2,421.84574174881
384,4,128,591,2,421.84574174881
384,4,128,611,2,420.601999044418
384,4,128,591,2,420.601999044418
384,4,128,611,2,422.128328084946
384,4,128,591,2,422.128328084946
384,5,128,611,2,421.366580486298
384,5,128,591,2,421.366580486298
384,5,128,611,2,423.318514108658
384,5,128,591,2,423.318514108658
384,5,128,611,2,421.972587823868
384,5,128,591,2,421.972587823868
384,6,128,611,2,421.470374107361
384,6,128,591,2,421.470374107361
384,6,128,611,2,423.199000597
384,6,128,591,2,423.199000597
384,6,128,611,2,421.518814563751
384,6,128,591,2,421.518814563751
384,7,128,611,2,420.725741386414
384,7,128,591,2,420.725741386414
384,7,128,611,2,422.179230451584
384,7,128,591,2,422.179230451584
384,7,128,611,2,421.792478561401
384,7,128,591,2,421.792478561401
384,8,128,611,2,421.524636983872
