GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,216,4,4096,361,32,836.46834230423
7365,216,4,4096,361,32,818.003902196884
7365,216,2,1024,740,8,638.273425579071
7365,216,2,1024,740,8,629.831702470779
7365,216,4,2048,740,2,1107.3421599865
7365,216,2,1024,740,12,621.183631420135
7365,216,2,1024,740,12,640.957169055939
7365,216,4,2048,740,2,1109.76255536079
7365,216,2,1024,740,16,650.40034532547
7365,216,4,2048,740,4,762.851363420486
7365,216,2,1024,740,16,655.944369077683
7365,216,4,2048,740,4,771.021355628967
7365,216,2,512,1498,2,997.567292690277
7365,216,4,2048,740,8,722.234025478363
7365,216,2,512,1498,2,945.344913244247
7365,216,4,2048,740,8,708.432535886765
7365,216,2,512,1498,4,675.72004365921
7365,216,4,2048,740,16,714.109640836716
7365,216,2,512,1498,4,676.753661632538
7365,216,4,2048,740,16,713.831385374069
7365,216,2,512,1498,8,722.509119510651
7365,216,4,2048,740,24,794.223984479904
7365,216,2,512,1498,8,692.896786212921
7365,216,4,2048,740,24,790.225825786591
7365,216,2,512,1498,12,750.426876306534
7365,216,4,2048,740,32,824.266585826874
7365,216,2,512,1498,12,681.570258378982
7365,216,4,2048,740,32,735.51154589653
7365,216,2,512,1498,16,677.012475728989
7365,216,2,512,1498,16,700.340372085571
7365,216,4,1024,1498,2,1048.75952100754
7365,216,4,1024,1498,2,1056.29007148743
7365,216,2,256,3014,2,916.554319620133
7365,216,2,256,3014,2,917.63349366188
7365,216,4,1024,1498,4,784.652522325516
7365,216,4,1024,1498,4,735.292433023453
7365,216,2,256,3014,4,715.394230127335
7365,216,2,256,3014,4,760.759438514709
7365,216,4,1024,1498,8,811.218437671661
7365,216,2,256,3014,8,732.170760393143
7365,216,4,1024,1498,8,731.455213308334
7365,216,2,256,3014,8,754.629849910736
7365,216,4,1024,1498,16,736.345663070679
7365,216,2,256,3014,12,747.911155223846
7365,216,4,1024,1498,16,747.575309991837
7365,216,2,256,3014,12,998.627355575562
7365,216,4,1024,1498,24,784.750025749207
7365,216,4,1024,1498,24,790.538244009018
7365,216,2,256,3014,16,1020.59119129181
7365,216,2,256,3014,16,769.934344530106
7365,216,4,512,3014,32,1116.81695795059
7365,216,4,512,3014,32,800.872868776322
7365,216,4,512,3014,2,956.895231723785
7365,216,4,512,3014,2,955.90268611908
7365,216,4,512,3014,4,828.059194564819
7365,216,4,512,3014,4,789.406067848206
7365,216,4,512,3014,8,796.36397767067
7365,216,4,512,3014,8,1175.23148536682
7365,216,4,512,3014,16,795.297891616821
7365,216,4,512,3014,16,794.793436050415
7365,216,4,512,3014,24,1135.15738987923
7365,216,4,512,3014,24,1122.05549860001
7365,216,4,512,3014,32,808.614326477051
7365,216,4,512,3014,32,805.958072185516
7365,216,2,2048,361,2,987.885497570038
7365,216,2,2048,361,2,989.753957509994
7365,216,2,2048,361,4,624.655086278915
7365,216,2,2048,361,4,635.501712799072
7365,216,2,2048,361,8,574.895770072937
