GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),overall execution time(31)
5591,431,2,4,64,303.680708646774
5591,431,2,4,64,304.004866361618
5591,431,2,8,32,202.699605226517
5591,431,2,8,32,199.082458972931
5591,431,2,16,16,183.645157575607
5591,431,2,16,16,195.677122592926
5591,431,2,32,8,217.201634883881
5591,431,2,32,8,204.632822751999
5591,431,2,64,4,201.141549348831
5591,431,2,64,4,200.975842952728
5591,431,2,2,256,991.127383232117
5591,431,2,2,256,993.015794038773
5591,431,2,4,128,583.049209594727
5591,431,2,4,128,583.267989873886
5591,431,2,8,64,369.433828830719
5591,431,2,8,64,380.556611061096
5591,431,2,16,32,337.214079380035
5591,431,2,16,32,337.912454366684
5591,431,2,32,16,348.915726423264
5591,431,2,32,16,361.875569343567
5591,431,2,64,8,349.891416788101
5591,431,2,64,8,345.848906040192
5591,431,2,2,128,507.859881162643
5591,431,2,2,128,506.583501577377
5591,431,2,4,64,303.20424413681
5591,431,2,4,64,302.651305675507
5591,431,2,8,32,201.698412418365
5591,431,2,8,32,201.891042470932
5591,431,2,16,16,186.216624975204
5591,431,2,16,16,186.013787746429
5591,431,2,32,8,196.127506017685
5591,431,2,32,8,202.929545164108
5591,431,2,64,4,199.09897518158
5591,431,2,64,4,200.14493227005
5591,431,2,2,256,991.604076862335
5591,431,2,2,256,990.736822605133
5591,431,2,4,128,583.548364639282
5591,431,2,4,128,582.271249294281
5591,431,2,8,64,378.716583251953
5591,431,2,8,64,376.91641163826
5591,431,2,16,32,337.809054613113
5591,431,2,16,32,330.188136577606
5591,431,2,32,16,371.353953123093
5591,431,2,32,16,362.971346855164
5591,431,2,64,8,348.85768032074
5591,431,2,64,8,332.363080978394
7365,431,2,2,128,189.701464176178
7365,431,2,2,128,182.300712585449
7365,431,2,4,64,161.512759685516
7365,431,2,4,64,162.398276567459
7365,431,2,8,32,155.38850903511
7365,431,2,8,32,151.842084646225
7365,431,2,16,16,150.869569063187
7365,431,2,16,16,156.773929834366
7365,431,2,32,8,148.835949897766
7365,431,2,32,8,152.875700950623
7365,431,2,64,4,147.073313951492
7365,431,2,64,4,149.549375534058
7365,431,2,128,4,267.370261192322
7365,431,2,128,4,289.824133634567
7365,431,2,2,256,357.167805194855
7365,431,2,2,256,352.606544971466
7365,431,2,4,128,306.502505064011
7365,431,2,4,128,323.691245555878
7365,431,2,8,64,285.935106277466
7365,431,2,8,64,284.874359369278
7365,431,2,16,32,290.487838029861
7365,431,2,16,32,293.936733722687
7365,431,2,32,16,284.069128274918
7365,431,2,32,16,287.971667766571
7365,431,2,64,8,289.669743776321
7365,431,2,64,8,287.291243076324
7365,431,2,128,8,533.856997966766
7365,431,2,128,8,521.720125675201
7365,431,2,2,128,518.269897699356
7365,431,2,2,128,518.833289146423
7365,431,2,4,64,281.33437371254
7365,431,2,4,64,281.172714948654
7365,431,2,8,32,189.632430553436
7365,431,2,8,32,188.48180270195
7365,431,2,16,16,187.074343681335
7365,431,2,16,16,188.644763231277
7365,431,2,32,8,176.056257247925
7365,431,2,32,8,174.013305187225
7365,431,2,64,4,185.049800395966
7365,431,2,64,4,176.551033496857
7365,431,2,2,256,1019.99750089645
7365,431,2,2,256,1020.76778864861
7365,431,2,4,128,543.977926492691
7365,431,2,4,128,544.014127254486
7365,431,2,8,64,360.706178188324
7365,431,2,8,64,354.776110649109
7365,431,2,16,32,342.834942102432
7365,431,2,16,32,353.73636841774
7365,431,2,32,16,334.88038778305
7365,431,2,32,16,320.261201620102
7365,431,2,64,8,308.704040765762
7365,431,2,64,8,306.290076255798
7365,431,2,2,128,518.460654497147
7365,431,2,2,128,518.822118997574
7365,431,2,4,64,280.784355401993
7365,431,2,4,64,281.046128749847
7365,431,2,8,32,189.648375272751
7365,431,2,8,32,187.507905960083
7365,431,2,16,16,186.080338478088
7365,431,2,16,16,189.02092051506
7365,431,2,32,8,174.543418645859
7365,431,2,32,8,182.557549953461
7365,431,2,64,4,176.216612815857
7365,431,2,64,4,179.994239091873
7365,431,2,2,256,1022.48574900627
7365,431,2,2,256,1019.97198033333
7365,431,2,4,128,544.066821813583
7365,431,2,4,128,543.989786148071
7365,431,2,8,64,349.31271982193
7365,431,2,8,64,352.270985603332
7365,431,2,16,32,340.245906591415
7365,431,2,16,32,351.68833398819
7365,431,2,32,16,321.828147888184
7365,431,2,32,16,312.389937400818
7365,431,2,64,8,313.20963382721
7365,431,2,64,8,313.757249355316
11339,270,2,16,16,176.081824541092
11339,270,2,32,8,169.425096988678
11339,270,2,64,4,167.975991725922
11339,270,2,128,4,299.927970170975
11339,270,2,16,32,326.02081990242
11339,270,2,32,16,307.114859819412
11339,270,2,64,8,304.35833978653
11339,270,2,128,8,572.761103153229
11339,270,2,16,16,205.903403520584
11339,270,2,32,8,194.402035951614
11339,270,2,64,4,194.342997789383
11339,270,2,16,32,369.776222467422
11339,270,2,32,16,340.776189088821
11339,270,2,64,8,343.920715332031
11339,270,2,16,16,201.926003932953
11339,270,2,32,8,190.052845954895
11339,270,2,64,4,195.849153995514
11339,270,2,16,32,355.608348846436
11339,270,2,32,16,339.795293569565
11339,270,2,64,8,338.86977648735
