GFlops(7),disk speed(8),GPU number(9),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
7365,384,2,32,8069,8,1865.2451851368
7365,384,4,64,8069,8,1904.48932671547
7365,384,4,64,8069,8,1905.05392956734
7365,384,2,16,16156,2,2321.30345106125
7365,384,2,16,16156,2,2321.33253479004
7365,384,4,32,16156,2,2423.84696602821
7365,384,4,32,16156,2,2404.28543114662
7365,384,2,16,16156,4,2349.4052670002
7365,384,2,16,16156,4,2338.88059997559
7365,384,4,32,16156,4,2401.5392332077
7365,384,1,64,6047,2,4457.92752861977
7365,384,4,32,16156,4,2411.95161628723
7365,384,2,16,16156,6,2355.95523190498
7365,384,1,64,6047,2,4400.67035031319
7365,384,2,16,16156,6,2359.00126433372
7365,384,4,32,16156,6,2422.07740473747
7365,384,4,32,16156,6,2414.19280767441
7365,384,2,16,16156,8,2348.51410126686
7365,384,2,16,16156,8,2375.53425145149
7365,384,1,64,6047,4,4409.63051629067
7365,384,4,32,16156,8,2438.45401000977
7365,384,4,32,16156,8,2426.38348793983
7365,384,1,64,6047,4,4421.09608244896
7365,384,1,64,6047,6,4403.78479981422
7365,384,1,64,6047,6,4398.0070643425
7365,384,1,64,6047,8,4399.21987605095
7365,384,1,64,6047,8,4399.22313165665
7365,384,1,32,12112,2,4647.8600025177
7365,384,1,32,12112,2,4643.61222958565
7365,384,1,32,12112,4,4648.30607414246
7365,384,1,32,12112,4,4653.26059627533
7365,384,1,32,12112,6,4667.74016022682
7365,384,1,32,12112,6,4736.72366833687
7365,384,1,32,12112,8,4685.40644836426
7365,384,1,32,12112,8,4696.51366281509
7365,384,2,128,2003,2,1629.75276398659
7365,384,4,256,2003,2,1579.55963134766
7365,384,2,128,2003,2,1627.64075541496
7365,384,4,256,2003,2,1579.63611245155
7365,384,2,128,2003,4,1624.75183582306
7365,384,1,16,24243,2,5382.21049213409
7365,384,4,256,2003,4,1567.36323642731
7365,384,2,128,2003,4,1623.93693900108
7365,384,4,256,2003,4,1574.38390612602
7365,384,2,128,2003,6,1614.061388731
7365,384,4,256,2003,6,1577.29465150833
7365,384,1,16,24243,2,5393.31142997742
7365,384,2,128,2003,6,1616.13588571548
7365,384,4,256,2003,6,1578.85711479187
7365,384,2,128,2003,8,1621.15060663223
7365,384,4,256,2003,8,1571.29081201553
7365,384,2,128,2003,8,1623.13721179962
7365,384,4,256,2003,8,1562.55209136009
7365,384,2,64,4025,2,1648.77095913887
7365,384,4,128,4025,2,1639.78718519211
7365,384,2,64,4025,2,1708.14955377579
7365,384,1,16,24243,4,5408.4613764286
7365,384,4,128,4025,2,1641.28522324562
7365,384,2,64,4025,4,1703.01605415344
7365,384,4,128,4025,4,1637.12260699272
7365,384,2,64,4025,4,1714.72504043579
7365,384,4,128,4025,4,1648.32031154633
7365,384,1,16,24243,4,5413.25687742233
7365,384,2,64,4025,6,1714.0721654892
7365,384,4,128,4025,6,1643.73541784287
7365,384,4,128,4025,6,1648.12125754356
7365,384,2,64,4025,6,1742.78850722313
7365,384,4,128,4025,8,1646.17440223694
7365,384,2,64,4025,8,1699.10176634789
7365,384,4,128,4025,8,1638.34706473351
7365,384,2,64,4025,8,1699.49400019646
7365,384,1,16,24243,6,5483.27804112434
7365,384,4,64,8069,2,1881.68223595619
7365,384,2,32,8069,2,1853.12878227234
7365,384,4,64,8069,2,1882.083381176
7365,384,2,32,8069,2,1862.90883421898
7365,384,1,16,24243,6,5527.3457531929
7365,384,4,64,8069,4,1891.53267097473
7365,384,2,32,8069,4,1868.63786792755
7365,384,4,64,8069,4,1886.00346016884
7365,384,2,32,8069,4,1880.71574091911
7365,384,4,64,8069,6,1884.99962329865
7365,384,2,32,8069,6,1864.70936465263
7365,384,4,64,8069,6,1891.96780133247
7365,384,2,32,8069,6,1888.65657567978
7365,384,1,16,24243,8,5525.04325056076
7365,384,4,64,8069,8,1886.13133764267
7365,384,2,32,8069,8,1883.23243308067
7365,384,4,64,8069,8,1888.11082220078
7365,384,2,32,8069,8,1896.41717076302
7365,384,1,16,24243,8,5516.78694581986
7365,384,4,32,16156,2,2431.3013215065
7365,384,2,16,16156,2,2369.49189376831
7365,384,4,32,16156,2,2414.00079894066
7365,384,2,16,16156,2,2358.87401986122
7365,384,2,16,16156,4,2371.80484008789
7365,384,4,32,16156,4,2429.31586098671
7365,384,1,8,48505,2,6977.22204184532
7365,384,2,16,16156,4,2379.34587144852
7365,384,4,32,16156,4,2416.41517710686
7365,384,2,16,16156,6,2395.21420741081
7365,384,4,32,16156,6,2434.63456130028
7365,384,1,8,48505,2,6980.72015810013
7365,384,2,16,16156,6,2395.13929367065
7365,384,4,32,16156,6,2421.44290804863
7365,384,2,16,16156,8,2398.85774230957
7365,384,4,32,16156,8,2447.64061760902
7365,384,2,16,16156,8,2377.99759292602
7365,384,4,32,16156,8,2449.58981561661
7365,384,1,8,48505,4,7082.27511191368
7365,384,1,8,48505,4,7037.42767882347
7365,384,4,256,6047,2,4634.86479282379
7365,384,2,128,6047,2,5079.68539524078
7365,384,4,256,6047,2,4620.33741283417
7365,384,2,128,6047,2,5076.54214429855
7365,384,1,8,48505,6,7185.53230452537
7365,384,4,256,6047,4,4580.86647462845
7365,384,1,8,48505,6,7183.07496929169
7365,384,2,128,6047,4,5042.03997898102
7365,384,4,256,6047,4,4642.0085682869
7365,384,2,128,6047,4,5041.48960232735
7365,384,4,256,6047,6,4544.48636484146
7365,384,1,8,48505,8,7189.02811384201
7365,384,2,128,6047,6,5125.4600944519
