Layer,Hf,Wf,Cin,Cout,FLOPS,Time
2,3,3,3,64,86704128,0.08292365074157715
2,3,3,3,64,86704128,0.07823967933654785
2,3,3,3,64,86704128,0.0855855941772461
2,3,3,3,64,86704128,0.08561968803405763
2,3,3,3,64,86704128,0.07125616073608397
2,3,3,3,64,86704128,0.07058978080749513
2,3,3,3,64,86704128,0.06646347045898438
2,3,3,3,64,86704128,0.07013940811157228
2,3,3,3,64,86704128,0.06827092170715332
2,3,3,3,64,86704128,0.08487439155578612
2,3,3,3,64,86704128,0.06910157203674316
2,3,3,3,64,86704128,0.07575440406799316
2,3,3,3,64,86704128,0.07838296890258789
2,3,3,3,64,86704128,0.07488226890563965
2,3,3,3,64,86704128,0.07852506637573242
2,3,3,3,64,86704128,0.07766580581665039
2,3,3,3,64,86704128,0.07923316955566406
2,3,3,3,64,86704128,0.07087516784667969
2,3,3,3,64,86704128,0.08217930793762207
2,3,3,3,64,86704128,0.06554388999938965
2,3,3,3,64,86704128,0.07987666130065918
2,3,3,3,64,86704128,0.07219052314758301
2,3,3,3,64,86704128,0.0720667839050293
2,3,3,3,64,86704128,0.07256340980529785
2,3,3,3,64,86704128,0.0743412971496582
2,3,3,3,64,86704128,0.07887578010559082
2,3,3,3,64,86704128,0.07990503311157228
2,3,3,3,64,86704128,0.08161377906799316
2,3,3,3,64,86704128,0.06874585151672362
2,3,3,3,64,86704128,0.08333301544189453
2,3,3,3,64,86704128,0.0804135799407959
2,3,3,3,64,86704128,0.07591056823730469
2,3,3,3,64,86704128,0.06914377212524414
2,3,3,3,64,86704128,0.07891154289245605
2,3,3,3,64,86704128,0.06624007225036621
2,3,3,3,64,86704128,0.08062553405761719
2,3,3,3,64,86704128,0.07242250442504883
2,3,3,3,64,86704128,0.07335305213928223
2,3,3,3,64,86704128,0.07472014427185059
2,3,3,3,64,86704128,0.0775899887084961
2,3,3,3,64,86704128,0.07935857772827147
2,3,3,3,64,86704128,0.06496667861938478
2,3,3,3,64,86704128,0.07251477241516112
2,3,3,3,64,86704128,0.06499052047729492
2,3,3,3,64,86704128,0.07006311416625978
2,3,3,3,64,86704128,0.08165431022644043
2,3,3,3,64,86704128,0.07738876342773438
2,3,3,3,64,86704128,0.08044314384460449
2,3,3,3,64,86704128,0.07428359985351562
2,3,3,3,64,86704128,0.07246255874633789
2,3,3,3,64,86704128,0.07091975212097168
2,3,3,3,64,86704128,0.08052206039428711
2,3,3,3,64,86704128,0.07468008995056152
2,3,3,3,64,86704128,0.06920981407165527
2,3,3,3,64,86704128,0.07229971885681152
2,3,3,3,64,86704128,0.07232499122619629
2,3,3,3,64,86704128,0.08577728271484375
2,3,3,3,64,86704128,0.06957626342773438
2,3,3,3,64,86704128,0.07928204536437987
2,3,3,3,64,86704128,0.08466744422912598
2,3,3,3,64,86704128,0.06878256797790527
2,3,3,3,64,86704128,0.07462620735168457
2,3,3,3,64,86704128,0.07308816909790039
2,3,3,3,64,86704128,0.07043266296386719
2,3,3,3,64,86704128,0.08238744735717772
2,3,3,3,64,86704128,0.06693696975708008
2,3,3,3,64,86704128,0.0685887336730957
2,3,3,3,64,86704128,0.06856846809387207
2,3,3,3,64,86704128,0.06925010681152344
2,3,3,3,64,86704128,0.07932233810424805
2,3,3,3,64,86704128,0.0698857307434082
2,3,3,3,64,86704128,0.07775402069091797
2,3,3,3,64,86704128,0.07742834091186522
2,3,3,3,64,86704128,0.07746720314025879
2,3,3,3,64,86704128,0.08473038673400879
2,3,3,3,64,86704128,0.07293295860290527
2,3,3,3,64,86704128,0.07773137092590332
2,3,3,3,64,86704128,0.08338689804077147
2,3,3,3,64,86704128,0.07628488540649414
2,3,3,3,64,86704128,0.07481074333190918
2,3,3,3,64,86704128,0.06885743141174316
2,3,3,3,64,86704128,0.07183361053466797
2,3,3,3,64,86704128,0.07213950157165527
2,3,3,3,64,86704128,0.07211422920227051
2,3,3,3,64,86704128,0.07483339309692383
2,3,3,3,64,86704128,0.06619834899902344
2,3,3,3,64,86704128,0.08269691467285156
2,3,3,3,64,86704128,0.0766749382019043
2,3,3,3,64,86704128,0.06845355033874513
2,3,3,3,64,86704128,0.07325887680053711
2,3,3,3,64,86704128,0.0684349536895752
2,3,3,3,64,86704128,0.0688326358795166
2,3,3,3,64,86704128,0.07754325866699219
2,3,3,3,64,86704128,0.08469772338867188
2,3,3,3,64,86704128,0.07407236099243164
2,3,3,3,64,86704128,0.06614255905151367
2,3,3,3,64,86704128,0.0668795108795166
2,3,3,3,64,86704128,0.07751631736755371
2,3,3,3,64,86704128,0.06753897666931152
2,3,3,3,64,86704128,0.08230376243591309
2,3,3,3,64,86704128,0.07102227210998535
2,3,3,3,64,86704128,0.08336782455444336
2,3,3,3,64,86704128,0.08242416381835938
2,3,3,3,64,86704128,0.06834244728088379
2,3,3,3,64,86704128,0.08273792266845703
2,3,3,3,64,86704128,0.06786966323852539
2,3,3,3,64,86704128,0.06832480430603027
2,3,3,3,64,86704128,0.06690311431884766
2,3,3,3,64,86704128,0.07303071022033691
