starting timestamp(0),starting time(1),tensorflow version(2),system_UUID(3),mac_address(4),vm_instance(5),GPU type(6),GFlops(7),disk speed(8),GPU number(9),Network Type(10),Network depth(11),classes(12),batch size(13),Iterations Fraction(14),Real Iterations Number(15),Computed Iterations Number(16),Skipped Iterations Number(17),epochs(18),CPU threads(19),profile(20),CPUs usage(21),Average CPU usage(22),GPUs usage(23),Average GPU Usage(24),usage ratio(25),data_only(26),data time(27),training time(28),test time(29),overall execution time(30),missing time(31),repetition number(32),path(33)
1540757805,2018-10-28 20:16:45,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,800,NaN,8,0.5,127,128.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,661.687392,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_800_ep_2_bs_8/2018-10-28_20-16-44/0
1540759202,2018-10-28 20:40:02,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,16,1,128,129,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1273.032137,NaN,1292.67059803009,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_16/2018-10-28_20-40-01/0
1540759202,2018-10-28 20:40:02,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,16,0.75,96,96.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,871.815075,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_16/2018-10-28_20-40-01/0
1540759202,2018-10-28 20:40:02,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,16,0.5,64,64.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,618.318479,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_16/2018-10-28_20-40-01/0
1540759202,2018-10-28 20:40:02,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,16,0.25,32,32.25,0,0.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,220.535065,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_16/2018-10-28_20-40-01/0
1540760511,2018-10-28 21:01:51,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,16,1,128,129,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1271.650327,NaN,1292.51698160171,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_16/2018-10-28_21-01-50/0
1540760511,2018-10-28 21:01:51,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,16,0.75,96,96.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,870.719059,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_16/2018-10-28_21-01-50/0
1540760511,2018-10-28 21:01:51,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,16,0.25,32,32.25,0,0.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,221.350238,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_16/2018-10-28_21-01-50/0
1540760511,2018-10-28 21:01:51,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,16,0.5,64,64.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,618.164152,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_16/2018-10-28_21-01-50/0
1540761822,2018-10-28 21:23:42,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,600,NaN,16,1,128,129,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1285.476568,NaN,1306.88745832443,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_600_ep_2_bs_16/2018-10-28_21-23-41/0
1540761822,2018-10-28 21:23:42,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,600,NaN,16,0.25,32,32.25,0,0.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,218.116762,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_600_ep_2_bs_16/2018-10-28_21-23-41/0
1540761822,2018-10-28 21:23:42,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,600,NaN,16,0.5,64,64.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,622.704589,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_600_ep_2_bs_16/2018-10-28_21-23-41/0
1540761822,2018-10-28 21:23:42,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,600,NaN,16,0.75,96,96.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,879.621662,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_600_ep_2_bs_16/2018-10-28_21-23-41/0
1540763145,2018-10-28 21:45:45,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,800,NaN,16,0.25,32,32.25,0,0.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,210.907695,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_800_ep_2_bs_16/2018-10-28_21-45-44/0
1540763145,2018-10-28 21:45:45,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,800,NaN,16,0.5,64,64.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,593.78593,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_800_ep_2_bs_16/2018-10-28_21-45-44/0
1540763145,2018-10-28 21:45:45,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,800,NaN,16,0.75,96,96.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,846.711778,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_800_ep_2_bs_16/2018-10-28_21-45-44/0
1540763145,2018-10-28 21:45:45,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,800,NaN,16,1,128,129,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1248.936244,NaN,1269.97377610207,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_800_ep_2_bs_16/2018-10-28_21-45-44/0
1540764432,2018-10-28 22:07:12,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,32,0.75,48,48.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,846.272228,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_32/2018-10-28_22-07-11/0
1540764432,2018-10-28 22:07:12,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,32,0.25,16,16.25,0,0.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,209.175679,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_32/2018-10-28_22-07-11/0
1540764432,2018-10-28 22:07:12,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,32,0.5,32,32.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,583.075261,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_32/2018-10-28_22-07-11/0
1540764432,2018-10-28 22:07:12,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,200,NaN,32,1,64,65,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1223.527178,NaN,1243.2588160038,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_200_ep_2_bs_32/2018-10-28_22-07-11/0
1540765694,2018-10-28 22:28:14,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,32,0.5,32,32.5,0,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,585.661594,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_32/2018-10-28_22-28-13/0
1540765694,2018-10-28 22:28:14,1.8.0,4C4C4544-004D-4B10-804B-CAC04F334E32,d8:9e:f3:2c:3a:37,matemagician,Quadro P600,1195,445,2,tf_deepspeech,400,NaN,32,0.75,48,48.75,0,1.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,851.955457,NaN,NaN,NaN,0,/home/simon/output/matemagician/tf_deepspeech/tf_deepspeech_hl_400_ep_2_bs_32/2018-10-28_22-28-13/0
