Layer,Hf,Wf,Cin,Cout,FLOPS,Time
3,3,3,64,64,1849688064,0.41513904080246433
3,3,3,64,64,1849688064,0.43311556324814304
3,3,3,64,64,1849688064,0.43519385800217136
3,3,3,64,64,1849688064,0.40986236080978855
3,3,3,64,64,1849688064,0.4542461250767563
3,3,3,64,64,1849688064,0.45039089665268406
3,3,3,64,64,1849688064,0.4484873627171372
3,3,3,64,64,1849688064,0.4453748081669663
3,3,3,64,64,1849688064,0.45018871769760593
3,3,3,64,64,1849688064,0.4510413025364731
3,3,3,64,64,1849688064,0.40197523579452976
3,3,3,64,64,1849688064,0.4605408524021958
3,3,3,64,64,1849688064,0.4392717693791245
3,3,3,64,64,1849688064,0.41032298550461277
3,3,3,64,64,1849688064,0.40313037381027683
3,3,3,64,64,1849688064,0.4032517288670395
3,3,3,64,64,1849688064,0.4154818867192124
3,3,3,64,64,1849688064,0.4540289257511948
3,3,3,64,64,1849688064,0.45757945523117527
3,3,3,64,64,1849688064,0.43450792775009617
3,3,3,64,64,1849688064,0.410116991852269
3,3,3,64,64,1849688064,0.4394846771702622
3,3,3,64,64,1849688064,0.4592047546849106
3,3,3,64,64,1849688064,0.4016030643925522
3,3,3,64,64,1849688064,0.40869983181808933
3,3,3,64,64,1849688064,0.41570909962509617
3,3,3,64,64,1849688064,0.4042511795506333
3,3,3,64,64,1849688064,0.41598328099106296
3,3,3,64,64,1849688064,0.45574363217209324
3,3,3,64,64,1849688064,0.458409867142186
3,3,3,64,64,1849688064,0.4406429146275376
3,3,3,64,64,1849688064,0.4438021992192124
3,3,3,64,64,1849688064,0.41624005780075535
3,3,3,64,64,1849688064,0.3994634960636948
3,3,3,64,64,1849688064,0.4449337337956284
3,3,3,64,64,1849688064,0.45781906590317234
3,3,3,64,64,1849688064,0.40177710995529636
3,3,3,64,64,1849688064,0.45190056309555515
3,3,3,64,64,1849688064,0.4593561504826401
3,3,3,64,64,1849688064,0.4559362743840073
3,3,3,64,64,1849688064,0.4580398415074204
3,3,3,64,64,1849688064,0.4571295593724106
3,3,3,64,64,1849688064,0.4143904064640854
3,3,3,64,64,1849688064,0.4429798935398911
3,3,3,64,64,1849688064,0.4144743298039292
3,3,3,64,64,1849688064,0.45826276287888035
3,3,3,64,64,1849688064,0.4561775539860581
3,3,3,64,64,1849688064,0.40827473149155125
3,3,3,64,64,1849688064,0.4118836735234116
3,3,3,64,64,1849688064,0.43983324513290867
3,3,3,64,64,1849688064,0.446554980133519
3,3,3,64,64,1849688064,0.40443190083359226
3,3,3,64,64,1849688064,0.4597028110966538
3,3,3,64,64,1849688064,0.44228657231186375
3,3,3,64,64,1849688064,0.40102823719833836
3,3,3,64,64,1849688064,0.4085245941624497
3,3,3,64,64,1849688064,0.45535119519089207
3,3,3,64,64,1849688064,0.4129534576878403
3,3,3,64,64,1849688064,0.45697864041183933
3,3,3,64,64,1849688064,0.42407043919418796
3,3,3,64,64,1849688064,0.44715174183701023
3,3,3,64,64,1849688064,0.41207345471237644
3,3,3,64,64,1849688064,0.4401431892857407
3,3,3,64,64,1849688064,0.4399717663273667
3,3,3,64,64,1849688064,0.4083886955723618
3,3,3,64,64,1849688064,0.40033992276047214
3,3,3,64,64,1849688064,0.44043954357956394
3,3,3,64,64,1849688064,0.44683178410385593
3,3,3,64,64,1849688064,0.40069206700180515
3,3,3,64,64,1849688064,0.4403308247074935
3,3,3,64,64,1849688064,0.4469190453038071
3,3,3,64,64,1849688064,0.41283853993271336
3,3,3,64,64,1849688064,0.4462931965336655
3,3,3,64,64,1849688064,0.4431610916600083
3,3,3,64,64,1849688064,0.44401463017319187
3,3,3,64,64,1849688064,0.4342578266606185
3,3,3,64,64,1849688064,0.44637473568771824
3,3,3,64,64,1849688064,0.45676477894638523
3,3,3,64,64,1849688064,0.40464242443893894
3,3,3,64,64,1849688064,0.4008956764683579
3,3,3,64,64,1849688064,0.44410284504745945
3,3,3,64,64,1849688064,0.3990326736912583
3,3,3,64,64,1849688064,0.41224487767075046
3,3,3,64,64,1849688064,0.44758208737228855
3,3,3,64,64,1849688064,0.41233166203354343
3,3,3,64,64,1849688064,0.41126736149643406
3,3,3,64,64,1849688064,0.40079601750229343
3,3,3,64,64,1849688064,0.44767435536240086
3,3,3,64,64,1849688064,0.4598742340550278
3,3,3,64,64,1849688064,0.44247015461777195
3,3,3,64,64,1849688064,0.46014221653793796
3,3,3,64,64,1849688064,0.4334786747441147
3,3,3,64,64,1849688064,0.43343552098129734
3,3,3,64,64,1849688064,0.4458008621678208
3,3,3,64,64,1849688064,0.45995934948776707
3,3,3,64,64,1849688064,0.4424174641117905
3,3,3,64,64,1849688064,0.45664819226120457
3,3,3,64,64,1849688064,0.41265233502243504
3,3,3,64,64,1849688064,0.46008022770737156
3,3,3,64,64,1849688064,0.45311959729050144
3,3,3,64,64,1849688064,0.4113498543248032
3,3,3,64,64,1849688064,0.4114399765477036
3,3,3,64,64,1849688064,0.42393096432541355
3,3,3,64,64,1849688064,0.44468053326462265
3,3,3,64,64,1849688064,0.44784220204208836
3,3,3,64,64,1849688064,0.4478982304081772
3,3,3,64,64,1849688064,0.40528233990524765
3,3,3,64,64,1849688064,0.39979346737717136
3,3,3,64,64,1849688064,0.4052491997227524
3,3,3,64,64,1849688064,0.4239688728794907
3,3,3,64,64,1849688064,0.43412312016342625
3,3,3,64,64,1849688064,0.3999341343388413
3,3,3,64,64,1849688064,0.44331129536484226
3,3,3,64,64,1849688064,0.44462402806137546
3,3,3,64,64,1849688064,0.4341619823918198
3,3,3,64,64,1849688064,0.4432736252293442
3,3,3,64,64,1849688064,0.4513922546849106
3,3,3,64,64,1849688064,0.456548294876561
3,3,3,64,64,1849688064,0.3998449657902573
3,3,3,64,64,1849688064,0.4047847603306626
3,3,3,64,64,1849688064,0.41090281948898777
3,3,3,64,64,1849688064,0.41093047604416355
3,3,3,64,64,1849688064,0.4445215080723618
3,3,3,64,64,1849688064,0.4444650028691147
3,3,3,64,64,1849688064,0.40475209698532566
3,3,3,64,64,1849688064,0.41253527150009617
3,3,3,64,64,1849688064,0.45510300145004734
3,3,3,64,64,1849688064,0.4443281506047104
3,3,3,64,64,1849688064,0.40003450856064304
3,3,3,64,64,1849688064,0.453522286270604
3,3,3,64,64,1849688064,0.4001768444523667
3,3,3,64,64,1849688064,0.4125727032170151
3,3,3,64,64,1849688064,0.4525171135411118
3,3,3,64,64,1849688064,0.44436295971725925
3,3,3,64,64,1849688064,0.4115796898350571
3,3,3,64,64,1849688064,0.4115525101170395
3,3,3,64,64,1849688064,0.4523788307652329
3,3,3,64,64,1849688064,0.451463541840062
3,3,3,64,64,1849688064,0.44810017094467625
3,3,3,64,64,1849688064,0.4473634575352524
3,3,3,64,64,1849688064,0.44738563046310886
3,3,3,64,64,1849688064,0.4480782364353989
3,3,3,64,64,1849688064,0.4534822319493149
3,3,3,64,64,1849688064,0.45516737446640476
3,3,3,64,64,1849688064,0.451437792633519
3,3,3,64,64,1849688064,0.4564553116307114
3,3,3,64,64,1849688064,0.45280202374313816
3,3,3,64,64,1849688064,0.45647796139572605
3,3,3,64,64,1849688064,0.40009721264694675
3,3,3,64,64,1849688064,0.4551435326084946
3,3,3,64,64,1849688064,0.4527510021672104
3,3,3,64,64,1849688064,0.40012582287643894
3,3,3,64,64,1849688064,0.45321210369919285
3,3,3,64,64,1849688064,0.45319398388718113
3,3,3,64,64,1849688064,0.4534009312138413
3,3,3,64,64,1849688064,0.39913543209885105
3,3,3,64,64,1849688064,0.39912088856552586
3,3,3,64,64,1849688064,0.4534200047001694
3,3,3,64,64,1849688064,0.4527760361180161
3,3,3,64,64,1849688064,0.45258458599899765
3,3,3,64,64,1849688064,0.45257099613998875
3,3,3,64,64,1849688064,0.4165376041874741
3,3,3,64,64,1849688064,0.41652759060715183
3,3,3,64,64,1849688064,0.452163061951146
3,3,3,64,64,1849688064,0.45217259869431004
3,3,3,64,64,1849688064,0.45232614025925144
3,3,3,64,64,1849688064,0.4523316238865708
3,3,3,64,64,1849688064,0.4459091042027329
3,3,3,64,64,1849688064,0.44591721043442234
3,3,3,64,64,1849688064,0.44591649517868504
