SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLength,networkingTime,singleLayerInfTime,OpType,NrParameters,NrNodes,Memory,MACs,SingleLayerSum-Splitted,singleLayerInfTimeProf
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,0.348779,0.374069527024403,1.203,4,0.006231067000044,0.001191753894091,307200,0.137576657000181,0.011206,Conv,12352,2,2916608,19834880,0.072833472975597,0.013481
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,0.350598,0.471569355111569,1.309,5,0.002369629999976,0.000500428956002,102400,0.130026548999922,0.0073,Conv,54592,7,13735168,85381120,-0.026485355111569,0.00052
sequential-mobilenetv2_1.00_160-block_7_add-add_0,0.376751,0.276490270858631,1.202,4,0.002051295000001,0.000497249886394,102400,0.135258287999932,0.024246,Add,53440,6,11272960,85381120,0.142440729141369,0
sequential-mobilenetv2_1.00_160-block_8_add-add_0,0.398946,0.373043862869963,1.135,4,0.002014142999997,0.000449636019766,102400,0.1320096500001,0.029394,Add,53440,6,11272960,85381120,0.023692137130037,0.009775
sequential-mobilenetv2_1.00_160-block_9_add-add_0,0.426863,0.469940979033709,1.209,4,0.001993438,0.00049692299217,102400,0.137353707999864,0.0242,Add,24960,1,2967040,39628800,-0.101121979033709,0.006429
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,0.435354,0.263606736902148,1.055,5,0.008164666000084,0.002232236089185,614400,0.156143259000146,0.008912,Conv,3840,2,7388160,6082560,0.096721263097852,0
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,0.451848,0.465008970117196,1.321,5,0.008987064999928,0.002143969992176,614400,0.150324351999871,0.019617,Conv,36960,2,5677440,59304960,-0.121174970117197,0.023503
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,0.452921,0.280143531039357,1.08,4,0.003244956999879,0.000652428017929,153600,0.138448392999862,0.007858,Conv,118752,7,20750208,187054080,0.062617468960643,0.00357
sequential-mobilenetv2_1.00_160-block_11_add-add_0,0.494868,0.366568491794169,1.12,4,0.00264028599986,0.000606258865446,153600,0.136046505999957,0.04011,Add,117024,6,17056896,187054080,-0.065754491794169,0
sequential-mobilenetv2_1.00_160-block_12_add-add_0,0.539018,0.171928688883781,0.956,5,0.002603324999882,0.000607704045251,153600,0.141674019999982,0.044123,Add,55872,1,4524288,88934400,0.084735311116218,0
sequential-mobilenetv2_1.00_160-block_13_expand_BN-FusedBatchNormV3_0,0.543372,0.177608554018661,0.95,4,0.013427667999849,0.003583374898881,921600,0.159737971999903,0.014998,Conv,0,2,11833344,368640,0.074701445981339,0.003465
sequential-mobilenetv2_1.00_160-block_13_pad-Pad_0,0.547498,0.167562436079606,0.994,4,0.018457488000195,0.004232147941366,1115136,0.180202688000009,0.006385,Pad,5760,1,5405184,2188800,0.080621563920393,0
sequential-mobilenetv2_1.00_160-block_13_depthwise_BN-FusedBatchNormV3_0,0.560627,0.267670953879133,1.058,4,0.004982810999991,0.000927447108552,230400,0.136032037999939,0.010419,Conv,92320,2,2468480,36988160,-0.032615953879133,0.013997
sequential-mobilenetv2_1.00_160-block_13_project_BN-FusedBatchNormV3_0,0.558134,0.10389934387058,0.926,4,0.001620382000056,0.000338603043929,64000,0.130115852000017,0.005722,Conv,320800,7,9731200,127091200,0.13364865612942,0.004626
sequential-mobilenetv2_1.00_160-block_14_add-add_0,0.589702,0.093870020005852,0.974,4,0.00133484700018,0.000313107157126,64000,0.131046058000038,0.025282,Add,317920,6,8183680,127091200,0.112109979994148,0.000194
sequential-mobilenetv2_1.00_160-block_15_add-add_0,0.628473,0.169341784901917,0.992,4,0.00134342299998,0.00029680901207,64000,0.14077750499996,0.026062,Add,154560,1,2410240,61632000,-0.002132784901917,0
sequential-mobilenetv2_1.00_160-block_16_expand_BN-FusedBatchNormV3_0,0.62816,0.146223366027698,0.926,4,0.005506842999921,0.001540116965771,384000,0.141676798999924,0.007889,Conv,9600,2,4646400,3801600,0.021298633972302,0.003379
sequential-mobilenetv2_1.00_160-block_16_depthwise_BN-FusedBatchNormV3_0,0.640877,0.091599108884111,0.89,4,0.006330842000125,0.001353878062218,384000,0.150722357999939,0.014355,Conv,307520,2,4814080,123097600,0.063205891115889,0
sequential-mobilenetv2_1.00_160-block_16_project_BN-FusedBatchNormV3_0,0.660927,0.07441266393289,0.882,4,0.002668926000069,0.000521563924849,128000,0.136569186000088,0.016825,Conv,409600,1,4198400,164096000,0.06034233606711,0.013952
sequential-mobilenetv2_1.00_160-Conv_1-Conv2D_0,0.68515,0.008996335789561,0.887,4,0.006733273999998,0.002114603994414,512000,0.142893596000022,0.019273,Conv,5120,1,4116480,0,0.101535664210438,0.004653
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.023829,1.15603034407832,2.064,5,0.048944112999834,0.012460849015042,3276800,0.263231942999937,0.019729,Conv,320,2,39322880,32440320,-0.373688344078318,0
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.05392,1.15109546110034,2.031,5,0.04904356499992,0.01203153305687,3276800,0.240625507000004,0.040479,Conv,528,2,32770112,54558720,-0.39884446110034,0.015517
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.078078,1.04750940203667,1.816,5,0.025827259999915,0.00610497710295,1638400,0.186374851999972,0.018588,Conv,1536,1,45881344,162201600,-0.319416402036667,0
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.084979,0.521302302135155,1.629,5,0.132654801999706,0.036864203168079,9830400,0.577997500000038,0.021912,Conv,384,1,78644736,0,0.199889697864845,0.033675
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.097619,0.722470346139744,1.833,5,0.144483688000037,0.036296817939729,9830400,0.612009664000198,0.021124,BatchNormalization,0,2,118953984,3932160,-0.013918346139744,0.011239
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.117878,0.876064962008968,2.054,5,0.151631904000169,0.037215486168861,10077696,0.61785935800026,0.048314,Pad,960,1,50145024,23347200,-0.187771962008968,0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.171828,0.667361413128674,1.549,5,0.053062280000177,0.009105482138693,2457600,0.235526211000433,0.062231,Conv,2328,2,22127712,60272640,-0.033018413128674,0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.177462,0.746555087156594,1.635,5,0.011339006000071,0.002303570043296,614400,0.1598796950002,0.014436,Conv,8952,7,81136608,217374720,-0.117846087156594,0.022232
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.24246,0.468038425082341,1.306,4,0.009876437999992,0.002264302922413,614400,0.167181126000287,0.064363,Add,3600,1,17217600,90316800,0.095672574917659,0.023548
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.249712,0.360024997964501,1.307,4,0.049521319000178,0.013663535006344,3686400,0.270474493000165,0.012101,Conv,0,2,44983296,1474560,0.196434002035498,0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,0.260617,0.356268453877419,1.303,5,0.057602317000146,0.014660393120721,3873024,0.266560049000418,0.015621,Pad,1440,1,19184256,8755200,0.189285546122581,0.053131
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,0.28249,0.569976198021323,1.418,4,0.020893162999983,0.00337100494653,921600,0.161550524999711,0.025116,Conv,4640,2,8210560,29962240,-0.046295198021323,0.009093
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,0.29264,0.573519316036254,1.464,5,0.004885336999905,0.000781442038715,204800,0.15059759299993,0.00715,Conv,15008,7,27093632,92119040,-0.059988316036255,0
sequential-mobilenetv2_1.00_160-block_4_add-add_0,0.31462,0.57295784400776,1.365,4,0.003528465000272,0.000827870797366,204800,0.138200973000039,0.022812,Add,14432,6,22176128,92119040,-0.081406844007761,0
sequential-mobilenetv2_1.00_160-block_5_add-add_0,0.338951,0.274093626998365,1.127,4,0.00350209699991,0.000868547009304,204800,0.14334268399989,0.023026,Add,6336,1,5759744,39936000,0.193126373001635,0.008937
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,0.342245,0.262798253912479,1.108,4,0.017250418999993,0.004788005026057,1228800,0.173282817000199,0.006288,Conv,0,2,15249408,491520,0.201127746087521,0
